rdkit_MaxEStateIndex,rdkit_MinEStateIndex,rdkit_MaxAbsEStateIndex,rdkit_MinAbsEStateIndex,rdkit_qed,rdkit_MolWt,rdkit_HeavyAtomMolWt,rdkit_ExactMolWt,rdkit_NumValenceElectrons,rdkit_NumRadicalElectrons,rdkit_MaxPartialCharge,rdkit_MinPartialCharge,rdkit_MaxAbsPartialCharge,rdkit_MinAbsPartialCharge,rdkit_FpDensityMorgan1,rdkit_FpDensityMorgan2,rdkit_FpDensityMorgan3,rdkit_BalabanJ,rdkit_BertzCT,rdkit_Chi0,rdkit_Chi0n,rdkit_Chi0v,rdkit_Chi1,rdkit_Chi1n,rdkit_Chi1v,rdkit_Chi2n,rdkit_Chi2v,rdkit_Chi3n,rdkit_Chi3v,rdkit_Chi4n,rdkit_Chi4v,rdkit_HallKierAlpha,rdkit_Ipc,rdkit_Kappa1,rdkit_Kappa2,rdkit_Kappa3,rdkit_LabuteASA,rdkit_PEOE_VSA1,rdkit_PEOE_VSA10,rdkit_PEOE_VSA11,rdkit_PEOE_VSA12,rdkit_PEOE_VSA13,rdkit_PEOE_VSA14,rdkit_PEOE_VSA2,rdkit_PEOE_VSA3,rdkit_PEOE_VSA4,rdkit_PEOE_VSA5,rdkit_PEOE_VSA6,rdkit_PEOE_VSA7,rdkit_PEOE_VSA8,rdkit_PEOE_VSA9,rdkit_SMR_VSA1,rdkit_SMR_VSA10,rdkit_SMR_VSA2,rdkit_SMR_VSA3,rdkit_SMR_VSA4,rdkit_SMR_VSA5,rdkit_SMR_VSA6,rdkit_SMR_VSA7,rdkit_SMR_VSA8,rdkit_SMR_VSA9,rdkit_SlogP_VSA1,rdkit_SlogP_VSA10,rdkit_SlogP_VSA11,rdkit_SlogP_VSA12,rdkit_SlogP_VSA2,rdkit_SlogP_VSA3,rdkit_SlogP_VSA4,rdkit_SlogP_VSA5,rdkit_SlogP_VSA6,rdkit_SlogP_VSA7,rdkit_SlogP_VSA8,rdkit_SlogP_VSA9,rdkit_TPSA,rdkit_EState_VSA1,rdkit_EState_VSA10,rdkit_EState_VSA11,rdkit_EState_VSA2,rdkit_EState_VSA3,rdkit_EState_VSA4,rdkit_EState_VSA5,rdkit_EState_VSA6,rdkit_EState_VSA7,rdkit_EState_VSA8,rdkit_EState_VSA9,rdkit_VSA_EState1,rdkit_VSA_EState10,rdkit_VSA_EState2,rdkit_VSA_EState3,rdkit_VSA_EState4,rdkit_VSA_EState5,rdkit_VSA_EState6,rdkit_VSA_EState7,rdkit_VSA_EState8,rdkit_VSA_EState9,rdkit_FractionCSP3,rdkit_HeavyAtomCount,rdkit_NHOHCount,rdkit_NOCount,rdkit_NumAliphaticCarbocycles,rdkit_NumAliphaticHeterocycles,rdkit_NumAliphaticRings,rdkit_NumAromaticCarbocycles,rdkit_NumAromaticHeterocycles,rdkit_NumAromaticRings,rdkit_NumHAcceptors,rdkit_NumHDonors,rdkit_NumHeteroatoms,rdkit_NumRotatableBonds,rdkit_NumSaturatedCarbocycles,rdkit_NumSaturatedHeterocycles,rdkit_NumSaturatedRings,rdkit_RingCount,rdkit_MolLogP,rdkit_MolMR,rdkit_fr_Al_COO,rdkit_fr_Al_OH,rdkit_fr_Al_OH_noTert,rdkit_fr_ArN,rdkit_fr_Ar_COO,rdkit_fr_Ar_N,rdkit_fr_Ar_NH,rdkit_fr_Ar_OH,rdkit_fr_COO,rdkit_fr_COO2,rdkit_fr_C_O,rdkit_fr_C_O_noCOO,rdkit_fr_C_S,rdkit_fr_HOCCN,rdkit_fr_Imine,rdkit_fr_NH0,rdkit_fr_NH1,rdkit_fr_NH2,rdkit_fr_N_O,rdkit_fr_Ndealkylation1,rdkit_fr_Ndealkylation2,rdkit_fr_Nhpyrrole,rdkit_fr_SH,rdkit_fr_aldehyde,rdkit_fr_alkyl_carbamate,rdkit_fr_alkyl_halide,rdkit_fr_allylic_oxid,rdkit_fr_amide,rdkit_fr_amidine,rdkit_fr_aniline,rdkit_fr_aryl_methyl,rdkit_fr_azide,rdkit_fr_azo,rdkit_fr_barbitur,rdkit_fr_benzene,rdkit_fr_benzodiazepine,rdkit_fr_bicyclic,rdkit_fr_diazo,rdkit_fr_dihydropyridine,rdkit_fr_epoxide,rdkit_fr_ester,rdkit_fr_ether,rdkit_fr_furan,rdkit_fr_guanido,rdkit_fr_halogen,rdkit_fr_hdrzine,rdkit_fr_hdrzone,rdkit_fr_imidazole,rdkit_fr_imide,rdkit_fr_isocyan,rdkit_fr_isothiocyan,rdkit_fr_ketone,rdkit_fr_ketone_Topliss,rdkit_fr_lactam,rdkit_fr_lactone,rdkit_fr_methoxy,rdkit_fr_morpholine,rdkit_fr_nitrile,rdkit_fr_nitro,rdkit_fr_nitro_arom,rdkit_fr_nitro_arom_nonortho,rdkit_fr_nitroso,rdkit_fr_oxazole,rdkit_fr_oxime,rdkit_fr_para_hydroxylation,rdkit_fr_phenol,rdkit_fr_phenol_noOrthoHbond,rdkit_fr_phos_acid,rdkit_fr_phos_ester,rdkit_fr_piperdine,rdkit_fr_piperzine,rdkit_fr_priamide,rdkit_fr_prisulfonamd,rdkit_fr_pyridine,rdkit_fr_quatN,rdkit_fr_sulfide,rdkit_fr_sulfonamd,rdkit_fr_sulfone,rdkit_fr_term_acetylene,rdkit_fr_tetrazole,rdkit_fr_thiazole,rdkit_fr_thiocyan,rdkit_fr_thiophene,rdkit_fr_unbrch_alkane,rdkit_fr_urea
15.369927983518833,-6.372004884840744,15.369927983518833,0.9756312292536826,0.03462062156323929,679.7760000000018,630.3839999999999,679.3653241480013,268,0,0.3260470642528851,-0.5079666451554685,0.5079666451554685,0.3260470642528851,0.9375,1.6666666666666667,2.3125,5.40306648684045,3169.932312445881,78.45278277772833,71.69915697367438,22.69915697367438,42.562349567912676,34.808920492978174,11.217612475587085,7.075307140871209,7.075307140871209,3.8517883136048323,3.8517883136048323,2.127321939978307,2.127321939978307,-4.9700000000000015,2.3759633727215173e+24,8.974934382297825,21.011510897359507,15.54694954592102,347.7964265996751,59.44454588938023,35.46845001999528,17.25429119536944,23.628718917406022,4.293598971697903,11.938610575903699,28.96509065299478,4.794537184071822,0.0,0.0,25.78862164991795,61.903730783349495,44.39723137756041,27.46916148755144,107.64154352747848,41.526884062053554,4.293598971697903,21.239253413153502,33.76523032090384,88.40372088564523,12.99371936863189,29.733126322350174,0.0,5.749511833283905,44.11812131605859,0.0,5.749511833283905,0.0,101.36769000298797,35.14014800576031,5.893957685363079,104.110576044052,29.16207956328885,16.942104939938407,2.8623993144652684,0.0,327.66999999999996,228.4190414733865,17.125128664555906,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,20.31882930595731,65.09997770908339,402.9312424274978,0.0,90.16065894266804,1.641352077558845,-7.405007167298818,-31.985067504643318,-37.070822134533174,-38.55896463237051,-20.296725342212078,0.0,0.5666666666666667,48,15,18,0,0,0,1,0,1,12,11,18,27,0,0,0,1,-2.4009,175.05179999999987,2,0,0,0,0,0,0,1,2,2,6,4,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.470407491331809,-4.324334109784926,13.470407491331809,0.9436889055263087,0.10598182988213488,494.45199999999994,472.27600000000035,494.1212969040005,186,0,0.34488383049333315,-0.504259893027059,0.504259893027059,0.34488383049333315,0.9166666666666666,1.6388888888888888,2.361111111111111,2.457057545446081,2248.7648107870727,44.5132607100434,39.08248290463863,17.08248290463863,26.979541220454397,19.353103630798287,8.995365597551247,6.105846046370017,6.105846046370017,3.6966517624676407,3.6966517624676407,2.1472523234911023,2.1472523234911023,-5.12,891164719617.7029,9.153986604221029,10.870929705215419,6.26064595010551,235.59819088797846,40.498520291550534,0.0,34.49707099970343,6.080018026949988,10.01839760062844,11.938610575903699,0.0,9.589074368143644,0.0,0.0,24.17932786902545,59.00659150547859,20.72996525140238,17.819861230212858,70.6489730022475,30.094825814010395,10.01839760062844,0.0,0.0,12.452942928279366,0.0,76.64522737412992,0.0,34.49707099970343,0.0,0.0,34.49707099970343,0.0,62.367483883999974,20.69886222327307,0.0,42.815184309341305,54.39142140734192,0.0,19.587414895339336,0.0,184.98,153.69006711612312,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.498520291550534,30.579775943181744,180.7995429087354,0.0,26.288768621522046,28.82812450122249,-5.1281952101797215,-11.514577911946807,-16.350630042656565,-8.423032866696868,0.0,0.0,0.07692307692307693,36,7,10,0,0,0,3,0,3,10,7,10,14,0,0,0,3,3.342900000000004,128.49660000000003,1,0,0,0,0,0,0,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.637566585418053,-4.432958898122815,13.637566585418053,0.9122604840887261,0.3571082757367081,460.3909999999999,440.2310000000003,460.1005614600004,174,0,0.3353353954474336,-0.5035512028464043,0.5035512028464043,0.3353353954474336,1.1818181818181819,2.0,2.696969696969697,2.2270111438919704,2035.4252908450667,40.60156533771294,35.4907311951025,15.490731195102494,24.278058273503603,17.853103630798287,8.311862178478973,5.899404699913708,5.899404699913708,3.960012713036682,3.960012713036682,2.538297168416938,2.538297168416938,-3.64,77769735208.35156,8.613293150026175,8.71340921329484,3.9805710193107418,213.69135227213297,44.17178075398956,36.340304412001665,23.007832085418336,16.309189173518707,2.8623993144652684,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,30.212093538316473,0.0,17.648288907023584,26.228572245265664,69.5276962806147,16.938549644058888,7.155998286163171,0.0,0.0,30.586150476336847,7.037952458882589,52.520258529615425,0.0,28.572234410423153,14.90251629950064,0.0,17.248535499851716,0.0,74.8622478076379,9.53140013787187,0.0,20.561378342553297,51.50861907476823,0.0,23.72414292391111,0.0,176.12,130.8606083352451,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.54404095553606,46.34511642716998,179.83694961106016,0.0,26.295297919448956,18.839478573696816,-3.835175015392836,-8.300270924407396,-7.807204739580891,-21.670334198673938,0.0,-3.692074559484202,0.2727272727272727,33,5,11,0,1,1,2,1,3,11,5,11,10,0,1,1,4,0.4451999999999992,111.08200000000001,1,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.964906068909043,-4.447231320511744,13.964906068909043,0.6903090961667804,0.48477331260825746,456.3219999999997,433.13800000000015,455.09024281600057,162,0,0.33913224964592575,-0.4655800512080945,0.4655800512080945,0.33913224964592575,1.2333333333333334,1.9666666666666666,2.6333333333333333,3.203327086622276,1747.140197423037,42.204224112214405,37.15263228430159,15.664490176338502,23.21360827344692,18.609508971096528,7.918224321615025,4.813873454261201,5.569802400279655,3.1533924821821224,3.911562359157942,2.0483722822818593,2.3790911961649317,-2.5099999999999993,12594267595.984983,7.276003055725175,10.498471550744673,5.148892088708858,216.8744723796696,19.520402214688524,2.7415171123404405,1.4118420783282006,6.745045584503197,0.0,17.90791586385555,4.794537184071822,9.589074368143644,0.0,0.0,42.1386093130873,31.68257933528103,36.95762331382413,42.347937168888194,60.16273072768871,41.10979564432058,0.0,5.309813353288376,0.0,39.19548383990887,13.782998043385785,56.27626192841973,0.0,0.0,5.309813353288376,0.0,0.0,23.20187978046503,31.690913907241335,28.59420041361561,0.0,74.91562356735072,40.66754380924009,11.457108705810853,0.0,0.0,90.92999999999999,132.47247302885833,15.754370108385686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.210588861400147,53.39965153836789,192.95472990427373,12.224554848376997,40.1510396056878,-3.023982499883475,-9.522596478962058,-11.956984349564083,-3.8654870801789523,-8.38276062732924,-16.34997149331075,-3.839652940221079,0.38095238095238093,30,1,7,0,1,1,1,0,1,7,1,9,11,0,0,0,2,4.245200000000003,111.71370000000003,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.534722222222221,-5.090277777777776,9.534722222222221,0.1321858465608463,0.18981331510009727,448.47899999999987,428.31900000000024,448.07225560000063,160,0,0.34323599159357054,-0.7481561348223558,0.7481561348223558,0.34323599159357054,1.0,1.3103448275862069,1.5517241379310345,1.1839023518508242e-06,1657.9861689635443,39.41133089340096,33.371337286638465,15.004330448493915,21.748229771053374,15.878747625061534,8.878747625061532,3.7824632627987937,5.598959843726516,1.6857142839174442,1.6857142839174442,0.9687057867299704,0.9687057867299704,-2.94,2261698316.7022333,8.06035500331067,12.504980689322732,18.198855976344483,196.00132115444632,19.524567389468324,5.483034224680881,27.433097955599482,0.0,0.0,9.483193781767781,0.0,16.835593968657875,0.0,9.13419929558271,10.31142545350108,0.0,55.88897735330142,40.84210949256245,73.03041397923815,32.61755815554111,0.0,0.0,10.31142545350108,6.620794467302512,12.367848202232917,59.98815865730621,0.0,0.0,9.13419929558271,0.0,0.0,0.0,61.10931399783312,26.85704818536962,0.0,35.800556994457956,59.1726811274133,2.8623993144652684,0.0,0.0,187.33999999999995,111.59435948238273,25.9410937160386,0.0,9.13419929558271,0.0,0.0,0.0,0.0,0.0,20.730493095588674,27.536053325529227,203.147342036492,0.0,0.0,13.148240277940594,-1.4265621418496313,0.0,-3.8099163402734826,-13.024486721576297,-3.270728221844294,-10.180555555555552,0.2,29,2,12,0,0,0,0,2,2,10,2,14,8,0,0,0,2,-1.2935999999999945,98.67540000000004,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12.01275738308409,-4.012712191358027,12.01275738308409,1.4373630007558582,0.8215995486924976,206.28500000000014,188.14099999999996,206.130679816,82,0,0.3101853515323108,-0.4807885019257389,0.4807885019257389,0.3101853515323108,1.6,2.3333333333333335,2.8666666666666667,4.245068196354043,897.6133951693004,26.74855866551393,25.316496580927726,7.316496580927726,14.36813182138298,12.566496580927726,3.658248290463863,2.412457478565265,2.412457478565265,1.3291241452319316,1.3291241452319316,0.7270620726159658,0.7270620726159658,-1.31,2223830.510396445,2.1952410435943577,4.964460295417243,3.387630631562938,116.31789303366082,5.1088081911072125,0.0,0.0,0.0,1.4311996572326342,5.969305287951849,4.794537184071822,0.0,0.0,0.0,37.87345906524454,30.245677687382127,17.819861230212858,11.376991910043959,33.20624083007277,5.969305287951849,1.4311996572326342,0.0,5.893957685363079,32.82255893857949,0.0,35.29657781404717,0.0,0.0,0.0,0.0,0.0,0.0,11.078113479059063,11.167462085401201,5.893957685363079,60.8794324755379,24.16967483065318,0.0,1.4311996572326342,0.0,37.3,79.9823997259416,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,24.734095112126372,138.26587939092968,0.0,12.01275738308409,3.548795264604924,-2.9414068405139835,-9.813481434240366,-6.019232804232803,-3.914287485827666,-11.472356807137203,0.0,0.46153846153846156,15,1,2,0,0,0,1,0,1,2,1,2,7,0,0,0,1,3.073200000000001,61.03480000000004,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.635812322511399,-4.12438122360752,13.635812322511399,0.10535822376908377,0.625773792963261,359.4509999999997,338.2830000000001,359.13036253200056,132,0,0.19730089396458736,-0.4931016609993153,0.4931016609993153,0.19730089396458736,1.4,2.32,3.2,2.308606019469911,1731.494647057632,35.91133089340096,32.974633948355326,12.791130529283054,20.420062514733917,16.68026592005809,7.38288223881919,4.008771422179344,5.11550141764665,2.5258851897232177,3.4188493313761046,1.5276130903318605,2.290611729385103,-2.25,1480373467.565697,5.141830153184628,8.221440329218106,4.2365016697356515,178.17205272493518,14.45072917782935,5.749511833283905,6.568278560148908,0.0,0.0,0.0,9.192877013111676,4.9839785209472085,0.0,0.0,12.08483741532659,24.979148240285564,41.30151919883158,57.610701831264635,42.50963760149718,21.83297047813683,0.0,14.94496031212367,0.0,24.086210385595923,20.155922944715165,47.64236823567669,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,39.3097817490033,21.241388881854515,6.851892117295679,45.045475511279264,41.541425230951944,1.4118420783282006,11.033401435232523,0.0,77.10000000000001,119.46698387740855,4.208898492164469,0.0,4.977003270229252,0.0,0.0,0.0,0.0,0.0,14.704819995694466,33.56387615553265,187.95710751370373,0.0,7.207442293806642,-1.087116566349885,-7.911358921178739,-1.5894492154070081,-4.59500409197901,-5.456403312663878,-11.82077064180228,-6.982224835907322,0.3333333333333333,25,1,6,0,0,0,1,2,3,5,1,7,10,0,0,0,3,2.989420000000001,97.16810000000005,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.304056594860166,-3.8759259259259258,11.304056594860166,0.8030650037792895,0.4560917735982506,146.14600000000007,136.06599999999997,146.06914218,58,0,0.3199828445702351,-0.4800862864649938,0.4800862864649938,0.3199828445702351,2.0,2.8,3.3,6.023636922478042,400.3543020288157,16.51650785794505,14.619172062391506,4.619172062391505,8.77881542390594,6.756688703659449,2.0595860311957526,1.1912168407237267,1.1912168407237267,0.4811836007164658,0.4811836007164658,0.16369825389946907,0.16369825389946907,-1.1,8420.618890092503,1.7335570050872324,3.8375573921028465,3.8485659349463233,72.3646806204837,16.548242142559758,8.841576625006047,2.8236841566564013,5.907179729351506,1.4311996572326342,5.969305287951849,9.589074368143644,0.0,0.0,0.0,0.0,6.372924901329379,11.855959126010259,1.3707585561702202,27.19904365341475,11.876485017303356,1.4311996572326342,0.0,11.439433951452546,18.763742271008404,0.0,0.0,0.0,0.0,11.439433951452546,0.0,0.0,0.0,23.003185676760214,9.589074368143644,0.0,19.59964258350986,0.0,5.6473683133128025,1.4311996572326342,0.0,106.41,42.0796612397643,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,13.932360751396537,69.96183767951625,0.0,22.560842781557067,3.3149707105064246,-1.6709075018896447,-4.19033163265306,-3.732222222222223,-7.660856481481483,0.0,0.0,0.6,10,5,5,0,0,0,0,0,0,4,3,5,5,0,0,0,0,-1.336199999999999,34.03959999999999,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.574141746976569,-3.884509128936317,8.574141746976569,0.011243510853224947,0.5138358021364728,329.4249999999997,310.2730000000001,329.1197978480005,120,0,0.2100394686684272,-0.4931018398950251,0.4931018398950251,0.2100394686684272,1.5217391304347827,2.4782608695652173,3.391304347826087,2.2709810991861863,1553.506750667219,32.541087405397874,30.066385657891466,11.88288223881919,18.836058849266553,15.217723398623354,6.678758093587258,3.7400426828967115,4.513439345030684,2.358651887498575,3.0192114973181425,1.425362539407041,2.0348911129186273,-2.05,343530655.27586144,4.7381182689534755,7.4789395319461,3.8332221909144977,165.51338421280866,14.822674415136515,5.749511833283905,6.568278560148908,1.4311996572326342,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,23.846722364717706,24.979148240285564,39.96852362509914,36.99390023469948,34.5604086781292,22.795286384623637,1.4311996572326342,14.94496031212367,0.0,24.086210385595923,13.117970485832577,47.64236823567669,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,11.761884949391115,34.602938646296096,5.704956885150159,6.851892117295679,40.933199842768595,41.541425230951944,1.4118420783282006,11.033401435232523,0.0,71.03,101.62946237562164,0.0,0.0,11.761884949391115,4.977003270229252,0.0,0.0,0.0,0.0,15.07676523300163,30.88280014425462,155.04127565529697,-0.011243510853224947,7.800184071105944,3.016241943357068,-6.409733511430357,-1.386026123948202,-3.9224300142133703,-5.001931862046593,-11.04300331393492,0.0,0.29411764705882354,23,2,5,0,0,0,1,2,3,5,2,6,9,0,0,0,3,3.319820000000002,91.82650000000005,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12.374084380513029,-3.6780791814892977,12.374084380513029,0.2597612355127239,0.7722744312422717,334.37899999999973,316.23500000000007,334.1429758160005,126,0,0.2402354223856594,-0.49676778700843005,0.49676778700843005,0.2402354223856594,1.36,2.2,3.0,2.1000193185844944,1713.618773850546,32.93627491978329,30.10535096292756,12.105350962927558,19.41231447066514,15.548440413195586,6.654013222195669,4.654372771006277,4.654372771006277,3.0831122998987004,3.0831122998987004,1.993977616134572,1.993977616134572,-3.1499999999999995,756424759.6310121,5.173231429275553,6.049954342018783,2.865146636965104,169.87876207885844,9.713866224029301,11.573916331283833,2.8236841566564013,5.907179729351506,0.0,0.0,4.794537184071822,10.402794667339638,5.101407525739723,0.0,12.894310824958975,36.25451224597977,31.618336907107764,37.49062445858803,34.28722119325179,22.652266167354732,0.0,15.37979793756889,10.9953652111028,13.224817018625059,7.037952458882589,47.86038244534006,0.0,17.137367822980828,10.15567910019248,0.0,5.749511833283905,0.0,28.61779898218126,4.794537184071822,5.893957685363079,40.72040540904559,47.39833847938279,2.8236841566564013,22.421257424929443,0.0,79.37,113.80674359854632,4.794537184071822,0.0,10.39581941662168,0.0,0.0,0.0,0.0,0.0,14.82224900048698,24.75582105537992,149.39925341294602,0.0,16.588519271753473,3.3992428079396655,-4.592810639210195,-7.079369112786619,-6.746710143691773,-3.6455097370448533,-3.6780791814892977,-3.144536678416449,0.21052631578947367,25,2,6,0,1,1,2,1,3,4,2,6,5,0,0,0,4,3.098600000000001,96.54240000000001,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
